test	final_disposition	reason
pa23/tests/general/100-call-operator-template-use-scope-shadowing.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 4 template concepts (dependent-name; integral-nttp; member-template; partial-specialization)
pa23/tests/general/100-constructor-template-const-ref-conversion.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 3 template concepts (constructor-deduction; integral-nttp; member-template)
pa23/tests/general/100-cross-specialization-converting-ctor-operator-template.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 6 template concepts (constructor-deduction; dependent-name; explicit-specialization; integral-nttp; member-template; partial-specialization)
pa23/tests/general/100-current-specialization-constructor-template-owner.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 4 template concepts (constructor-deduction; current-specialization; dependent-name; member-template)
pa23/tests/general/100-defaulted-trailing-class-partial-specialization.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 2 template concepts (dependent-name; partial-specialization)
pa23/tests/general/100-explicit-specialized-ctor-template-header-bad.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 3 template concepts (constructor-deduction; dependent-name; explicit-specialization)
pa23/tests/general/100-function-type-top-level-cv-ignored.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 2 template concepts (dependent-name; partial-specialization)
pa23/tests/general/100-negative-nontype-substitution-comparison.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 3 template concepts (dependent-name; integral-nttp; substitution)
pa23/tests/general/100-partial-owner-out-of-class-member-binding-args.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 2 template concepts (dependent-name; partial-specialization)
pa23/tests/general/100-partial-specialization-reference-top-level-const-mismatch.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 2 template concepts (dependent-name; partial-specialization)
pa23/tests/general/100-tracked-explicit-specialization-member-definition.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 2 template concepts (dependent-name; explicit-specialization)
pa23/tests/general/200-array-reference-deduction.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 2 template concepts (function-deduction; integral-nttp)
pa23/tests/general/200-explicit-template-id-forward-losing-overload-body.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 3 template concepts (dependent-name; function-deduction; partial-specialization)
pa23/tests/general/200-function-template-template-parameter-deduction.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 2 template concepts (function-deduction; template-template-parameter)
pa23/tests/general/200-out-of-class-member-template-namespace-typedef.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 4 template concepts (dependent-name; function-deduction; member-template; pack-expansion)
pa23/tests/general/300-current-specialization-constructor-template-canonical-owner.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 7 template concepts (constructor-deduction; current-specialization; dependent-name; integral-nttp; member-template; partial-specialization; sfinae)
pa23/tests/general/300-defaulted-enable-if-template-parameter-selection.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 5 template concepts (dependent-name; integral-nttp; member-template; partial-specialization; sfinae)
pa23/tests/general/300-dependent-alias-helper-partial-specialization.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 6 template concepts (alias-template; dependent-name; integral-nttp; pack-expansion; partial-specialization; sfinae)
pa23/tests/general/300-dependent-bool-base-trait-type-argument.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 6 template concepts (alias-template; dependent-name; integral-nttp; pack-expansion; partial-specialization; sfinae)
pa23/tests/general/300-detected-or-sfinae-fallback.t	keep-pa23-integration	manual keep: materially different PA23 source; placement audit reports 6 template concepts (alias-template; dependent-name; detector-idiom; pack-expansion; sfinae; template-template-parameter)
