category	surface	producer	consumer	owner	property_test	disposition	evidence
type	void	semantic lowering;explicit LowIR	parser;validator;native	pa8/README.md	pa8/tests/spec/100-ret0.t	keep	function and return boundary
type	i1	semantic lowering;explicit LowIR	parser;optimizer;native	pa8/README.md	pa8/tests/spec/100-if-else.t	keep	control and scalar value
type	i8	semantic lowering;explicit LowIR	parser;optimizer;native	pa8/README.md	pa8/tests/spec/200-integer-width-conversions.t	keep	signed byte value
type	u8	semantic lowering;explicit LowIR	parser;optimizer;native	pa8/README.md	pa8/tests/spec/200-unsigned-int-ops.t	keep	unsigned byte value
type	i16	semantic lowering;explicit LowIR	parser;optimizer;native	pa8/README.md	pa8/tests/spec/200-integer-width-conversions.t	keep	signed narrow value
type	u16	semantic lowering;explicit LowIR	parser;optimizer;native	pa8/README.md	pa8/tests/spec/200-unsigned-int-ops.t	keep	unsigned narrow value
type	i32	semantic lowering;explicit LowIR	parser;optimizer;native;host ABI	pa8/README.md	pa8/tests/spec/200-integer-width-conversions.t	keep	signed ABI scalar
type	u32	semantic lowering;explicit LowIR	parser;optimizer;native	pa8/README.md	pa8/tests/spec/200-unsigned-int-ops.t	keep	unsigned ABI scalar
type	i64	semantic lowering;explicit LowIR	parser;optimizer;native	pa8/README.md	pa8/tests/spec/100-local-arith.t	keep	primary integer scalar
type	i128	semantic lowering;explicit LowIR	parser;optimizer;native	pa29/README.md	pa32/tests/o1/300-i128-zext-add-carry.t	keep	wide integer semantics
type	f32	semantic lowering;explicit LowIR	parser;optimizer;native	pa8/README.md	pa8/tests/spec/100-f32-global.t	keep	binary32 semantics
type	f64	semantic lowering;explicit LowIR	parser;optimizer;native	pa8/README.md	pa8/tests/spec/100-f64-arith-cmp.t	keep	binary64 semantics
type	f80	semantic lowering;explicit LowIR	parser;optimizer;native;host ABI	pa8/README.md	pa8/tests/spec/200-f80-direct-call.t	keep	x87 storage and boundary semantics
type	ptr	semantic lowering;explicit LowIR	parser;optimizer;native;object	pa8/README.md	pa8/tests/spec/100-global-variable.t	keep	address values
type	obj<bytesxalign>	semantic lowering;explicit LowIR	parser;ABI lowering;native	pa8/README.md	pa8/tests/spec/100-small-direct-object-argument.t	keep	direct object boundary
instruction	const	semantic lowering;explicit LowIR	optimizer;native	pa8/README.md	pa8/tests/spec/100-local-arith.t	keep	literal materialization
instruction	copy	semantic lowering;explicit LowIR	optimizer;native	pa8/README.md	pa8/tests/spec/200-copy-instruction.t	keep	value transfer
instruction	phi	slot promotion;explicit LowIR	CFG;inliner;optimizer;native phi lowering	pa8/README.md	pa24/tests/structural/800-phi-critical-loop.t	keep	non-derivable merge value
instruction	addr	semantic lowering;explicit LowIR	address folding;native;object	pa8/README.md	pa8/tests/spec/100-global-variable.t	keep	symbol and slot address
instruction	load	semantic lowering;explicit LowIR	optimizer;native	pa8/README.md	pa8/tests/spec/100-global-variable.t	keep	memory read
instruction	load volatile	volatile semantic lowering;explicit LowIR	DCE;GVN;slot promotion;MIR;native	pa10/README.md	pa10/tests/controls/541-volatile-access-markers.cpp	keep	observable access
instruction	store	semantic lowering;explicit LowIR	optimizer;native	pa8/README.md	pa8/tests/spec/100-global-variable.t	keep	memory write
instruction	store volatile	volatile semantic lowering;explicit LowIR	DCE;GVN;slot promotion;MIR;native	pa10/README.md	pa10/tests/controls/541-volatile-access-markers.cpp	keep	observable access
instruction	atomic_load	atomic semantic lowering;explicit LowIR	parser;native	pa8/README.md	pa8/tests/spec/200-atomic-load-store.t	keep	atomic read contract
instruction	atomic_store	atomic semantic lowering;explicit LowIR	parser;native	pa8/README.md	pa8/tests/spec/200-atomic-load-store.t	keep	atomic write contract
instruction	atomic_exchange	atomic semantic lowering;explicit LowIR	parser;native	pa8/README.md	pa8/tests/spec/200-atomic-exchange.t	keep	atomic exchange contract
instruction	atomic_compare_exchange	atomic semantic lowering;explicit LowIR	parser;native	pa8/README.md	pa8/tests/spec/200-atomic-compare-exchange-success.t	keep	atomic conditional update
instruction	atomic_add_fetch	atomic semantic lowering;explicit LowIR	parser;native	pa8/README.md	pa24/tests/strict/300-atomic-add-fetch.t	keep	atomic read-modify-write
instruction	atomic_thread_fence	atomic semantic lowering;explicit LowIR	memory ordering;native	pa8/README.md	pa8/tests/spec/200-atomic-fences.t	keep	thread fence semantics
instruction	atomic_signal_fence	atomic semantic lowering;explicit LowIR	memory ordering;native	pa8/README.md	pa8/tests/spec/200-atomic-fences.t	keep	signal fence semantics
instruction	index	semantic lowering;explicit LowIR	address optimization;native	pa8/README.md	pa8/tests/spec/100-index-slot.t	keep	scaled address operation
instruction	unary	semantic lowering;explicit LowIR	optimizer;native	pa8/README.md	pa8/tests/spec/200-unary-ops.t	keep	scalar unary family retained; redundant decay identity removed
instruction	binary	semantic lowering;explicit LowIR	optimizer;native	pa8/README.md	pa8/tests/spec/200-binary-int-ops.t	keep	scalar arithmetic family
instruction	cmp	semantic lowering;explicit LowIR	optimizer;native	pa8/README.md	pa8/tests/spec/200-compare-predicates.t	keep	typed comparison
instruction	convert	semantic lowering;explicit LowIR	optimizer;native	pa8/README.md	pa8/tests/spec/200-integral-float-conversions.t	keep	typed conversion
instruction	select	explicit LowIR only	dormant converter;DCE;MIR CMOV;native	pa8/README.md	MISSING	remove	no production producer;branch plus phi is sufficient
instruction	va_start	variadic lowering;explicit LowIR	native varargs	pa24/README.md	pa24/tests/behavior/800-reactive-spill-va-start-register-save.t	keep	variadic ABI state
instruction	va_arg	variadic lowering;explicit LowIR	native varargs	pa24/README.md	pa24/tests/behavior/900-variadic-f64-register-save.t	keep	variadic ABI access
instruction	stack_alloc	dynamic storage lowering;explicit LowIR	frame planning;native	pa29/README.md	pa29/tests/compile/700-builtin-alloca-reactive-spill.t	keep	dynamic stack storage
instruction	call	semantic lowering;explicit LowIR	inliner;effects analysis;ABI;native	pa8/README.md	pa8/tests/spec/100-simple-call.t	keep	call boundary
instruction	copyobj	object lowering;explicit LowIR	copy forwarding;MIR;native	pa8/README.md	pa8/tests/spec/100-copyobj.t	keep	nonoverlapping object copy
instruction	zeroinit	object lowering;explicit LowIR	MIR;native	pa8/README.md	pa8/tests/spec/100-zeroinit.t	keep	object zero initialization
instruction	eh_try	exception lowering;explicit LowIR	EH CFG;native	pa8/README.md	pa8/tests/spec/100-eh-same-function-catch.t	keep	EH region entry
instruction	eh_cleanup	exception lowering;explicit LowIR	EH CFG;native	pa8/README.md	pa8/tests/spec/100-eh-cleanup-resume.t	keep	cleanup target
instruction	eh_cleanup clause	exception lowering;explicit LowIR	LSDA;native	pa21/README.md	pa26/tests/general/300-lsda-distinct-cleanup-landings.t	keep	landing-pad clause
instruction	eh_catch	exception lowering;explicit LowIR	LSDA;native	pa21/README.md	pa8/tests/spec/100-eh-same-function-catch.t	keep	typed catch clause
instruction	eh_filter	exception lowering;explicit LowIR	LSDA;native	pa21/README.md	pa21/tests/general/200-source-catch-miss-cleans-outer-scope.t	keep	exception filter clause
