old_case	baseline_inputs	baseline_sha256	assertion	disposition	destination	observation	verification
pa4/tests/100-empty.t	pa4/tests/100-empty.t	a3153171ce1e31254df0eafc361c1e0ad3ce258b522c0c64579ee057d48382dc	empty	retain	pa4/tests/macros/100-empty.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/100-nodefs.t	pa4/tests/100-nodefs.t	02cde0ba2cdc7d7867ef7381c146b8a0b73dc1b92bada52638df6941c651fb35	nodefs	retain	pa4/tests/macros/100-nodefs.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/100-undef-simple.t	pa4/tests/100-undef-simple.t	a35e63622588f63bbebe1dbd84a88d3a11b67c15f8135aa115b3e2519c32eafa	undef simple	retain	pa4/tests/macros/100-undef-simple.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/150-hash-outside.t	pa4/tests/150-hash-outside.t	c1bf042b0be26f5379258f2b6ee0f1ad3d151c4db93c91ee12037a58b3432fb3	hash outside	retire		Invalid phase-7 hash tokens; valid paste already exercised by 300-double-hash	Contract review: old success required printing invalid phase-7 tokens
pa4/tests/150-max.t	pa4/tests/150-max.t	ab346aabbc04814e65f14883b48726826909e29bba55ef16d28c29fd570ff95e	max	retain	pa4/tests/macros/150-max.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/200-fnlike.t	pa4/tests/200-fnlike.t	1e3c8d6c14f3da0bef94cc1d610a1d8572f0afba810146ddda04e6d61879dfb8	fnlike	retain	pa4/tests/macros/200-fnlike.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/200-function-macro-invocation-boundaries.t	pa4/tests/200-function-macro-invocation-boundaries.t	2715337bcc3eff8569c59e501c531d203d904412c6e68df8a61b62d50d54af11	function macro invocation boundaries	retain	pa4/tests/macros/200-function-macro-invocation-boundaries.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/200-invalid-token-macro-replacement.t	pa4/tests/200-invalid-token-macro-replacement.t	554e4730ab9cfb3736059714b8f0793e617f380ff946332eab358068550350e3	invalid token macro replacement	retire		Invalid-token dump is not the combined preprocessor contract; phase-7 rejection already covered by directives/120-invalid	Contract review: old success required printing invalid phase-7 tokens
pa4/tests/200-onedef.t	pa4/tests/200-onedef.t	092240e69a98b05cb8ed7ad427df52c3f15361adcffd6e023e985c798facfebc	onedef	retain	pa4/tests/macros/200-onedef.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
pa4/tests/200-whitespaces.t	pa4/tests/200-whitespaces.t	1799bba5b1b79b650097a532bdf38cfc1858364be5bd086c9753934d618ef65d	whitespaces	retain	pa4/tests/macros/200-whitespaces.t	File-output token stream and exit status; diagnostics ignored	PA4 105/105 in ordinary and batch mode; mixed check 2/2; original acceptance preserved; token comparison reviewed (file paths and selected reductions only)
