test	directory	prefix	opus_initial	trusted_initial	aggregate_reason	opus_failure	trusted_failure	feature_cluster	opus_commit_evidence	opus_plan_evidence	opus_log_evidence	candidate_owner_pa	classification	minimal_example	proposed_test_path	action_status	notes
pa23/tests/general/100-bool-nontype-integral-member-equality.t	pa23/tests/general	100	pass	fail	trusted_only		tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	non-type-template-argument-deduction-packs-and-static-values	8e4c41d4 nested template-id NTTP deduction; 984146a7c NTTP pack in nested template-id; b444d928a array-bound NTTP deduction in class partial spec; d062aba6a synthesize NTTP pack in partial ordering; 9cfd2427e bind NTTP pack on template/alias instantiation; 25727803a reference/pointer NTTPs	Opus final plan Work log items 11/12 and loop notes connect NTTP packs/static values with partial-specialization and deduction behavior.	Opus initial PA23 baseline passed this row (trusted_only seed); no Opus fixing transition, classification from test content plus Trusted seeded failure: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa19	no-missing-opus-feature	pa23/tests/general/100-bool-nontype-integral-member-equality.t		no-action	Exact PA23 source is g++ C++11 valid and current/reference compare clean; Opus start 1963d796e also compares clean, so no earlier backfill is needed.
pa23/tests/general/100-call-operator-template-use-scope-shadowing.t	pa23/tests/general	100	fail	fail	both_fail	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	member-template-entity-and-call-integration	42beb854b member template definition relink; 7571a0d7b using-declaration imports member template overloads; 670045ef2 member template as TTP arg; 24db2e7ce using-imported member-template this adjustment	Opus plan loop notes cover member-template lookup/call/import behavior across class scopes and template argument forms.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa22	missing-earlier-feature	analysis/reducers/pa22-call-operator-template-use-scope-shadowing.t	pa22/tests/general/300-call-operator-template-use-scope-shadowing.t	test-added	PA22 member call-operator template SFINAE/defaulted non-type guard reducer; g++ C++11 valid; Opus start 1963d796e parse-fails, Opus 42beb854b/current/reference accept; focused PA22 check and placement audit passed.
pa23/tests/general/100-class-partial-specialization-selection.t	pa23/tests/general	100	fail	pass	opus_only	generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/general/100-class-partial-specialization-selection.my.lowir.compare.diff		class-partial-specialization-selection	15a2e9c8d cv-qualifier-correct partial specialization and partial ordering; 33a806b05 TTP partial ordering	Opus final plan Work log item 4 names deterministic partial-specialization selection and ordering as a fixed root cause.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/general/100-class-partial-specialization-selection.my.lowir.compare.diff	pa21	missing-earlier-feature	pa21/tests/spec/100-partial-specialization-cv-pointer-selection.t	pa21/tests/spec/100-partial-specialization-cv-pointer-selection.t	test-added	seed=opus_only; PA21 README: template entity/specialization model, alias/variable/member templates, TTPs, partial specialization, explicit-instantiation ownership; no assignment tests or refs added in this audit pass; reducer validation: /tmp reducer mismatched LowIR at Opus start 1963d796e (pick<const int *>::value lowered as 1) and matched semantic LowIR at Opus fix 15a2e9c8d; LowIR and witness refs generated with /home/vishvananda/work/phases/reference-binaries/cppgm++
pa23/tests/general/100-constructor-template-const-ref-conversion.t	pa23/tests/general	100	fail	fail	both_fail	generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/general/100-constructor-template-const-ref-conversion.my.lowir.compare.diff	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	constructor-and-conversion-template-deduction-overload-selection	12a043a36 converting ctor-template reference binding; 06faea325 prefer rvalue ctor template; a6c373488 ICS ctor selection; 8282e47cf by-value converting ctor template; 6e909ebd5 conversion-function-template copy-init; f8660aa27 assignment via conversion operator	Opus final plan Loop 55/56 and Work log item 11 describe constructor/conversion-template deduction, overload ranking, copy-init, and assignment conversion composition.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/general/100-constructor-template-const-ref-conversion.my.lowir.compare.diff	pa22	feature-interaction-earliest-owner	pa22/tests/spec/300-constructor-template-const-ref-conversion.t	pa22/tests/spec/300-constructor-template-const-ref-conversion.t	test-added	seed=both_fail; ref-stable reducer is C++11-valid and current/reference compare cleanly; Opus PA23 start 1963d796e accepts but mismatches LowIR reference; Opus 12a043a36 and f8660aa27 compare cleanly; promoted to PA22 constructor-template deduction coverage.
pa23/tests/general/100-cross-specialization-converting-ctor-operator-template.t	pa23/tests/general	100	fail	fail	both_fail	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	member-template-entity-and-call-integration	42beb854b member template definition relink; 7571a0d7b using-declaration imports member template overloads; 670045ef2 member template as TTP arg; 24db2e7ce using-imported member-template this adjustment	Opus plan loop notes cover member-template lookup/call/import behavior across class scopes and template argument forms.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa22	missing-earlier-feature	analysis/reducers/pa22-cross-specialization-converting-ctor-operator-template.t	pa22/tests/spec/300-cross-specialization-converting-ctor-operator-template.t	test-added	Covered with spec duplicate by a PA22 constructor-template declaration reducer across explicit class specializations; g++ C++11 valid; Opus start 1963d796e parse-fails, Opus 42beb854b/current/reference accept; focused PA22 check and placement audit passed.
pa23/tests/general/100-current-class-static-member-nontype-argument-body-check.t	pa23/tests/general	100	pass	fail	trusted_only		generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/general/100-current-class-static-member-nontype-argument-body-check.my.lowir.compare.diff	non-type-template-argument-deduction-packs-and-static-values	8e4c41d4 nested template-id NTTP deduction; 984146a7c NTTP pack in nested template-id; b444d928a array-bound NTTP deduction in class partial spec; d062aba6a synthesize NTTP pack in partial ordering; 9cfd2427e bind NTTP pack on template/alias instantiation; 25727803a reference/pointer NTTPs	Opus final plan Work log items 11/12 and loop notes connect NTTP packs/static values with partial-specialization and deduction behavior.	Opus initial PA23 baseline passed this row (trusted_only seed); no Opus fixing transition, classification from test content plus Trusted seeded failure: generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/general/100-current-class-static-member-nontype-argument-body-check.my.lowir.compare.diff	pa19	no-missing-opus-feature	analysis/reducers/pa19-current-class-static-member-nontype-argument.t		no-action	Exact value-object source has reference EH declaration drift, but the type/pointer-shaped PA19 reducer is g++ C++11 valid, current/reference compare clean, and already compares clean at Opus start 1963d796e; no missing earlier feature was proven.
pa23/tests/general/100-current-specialization-constructor-template-owner.t	pa23/tests/general	100	fail	pass	opus_only	generated LowIR failed sanity validation: function @holder_int___make__t1 block ^entry load uses undefined slot $this		member-template-ownership-and-out-of-class-definition-replay	42beb854b link out-of-class member function template definitions; e8325194b out-of-class constructor templates; fd6f3e485 member class template definitions; a6212a3e1 parameter labels; 768c32e9f overload pairing	Opus final pa23/plan.md Work log item 2 and Loop 56/61 notes identify member-template body relinking, class/member out-of-class definitions, and source-order overload pairing.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: generated LowIR failed sanity validation: function @holder_int___make__t1 block ^entry load uses undefined slot $this	pa22	missing-earlier-feature	analysis/reducers/pa22-current-specialization-constructor-template-owner.t	pa22/tests/spec/300-current-specialization-constructor-template-owner.t	test-added	PA22 constructor-template current-specialization owner reducer; g++ C++11 valid; current/reference compare clean; Opus start 1963d796e mismatches, Opus e8325194b compares clean; focused PA22 check, placement audit, and PA22 report passed.
pa23/tests/general/100-current-specialization-member-body-cast-compare.t	pa23/tests/general	100	fail	pass	opus_only	generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/general/100-current-specialization-member-body-cast-compare.my.lowir.compare.diff		dependent-qualified-lookup-current-specialization-and-friend-scope	7020b769c dependent qualified name without typename; 3bec27bf4 alias-template-id qualifier in value context; 51026c3d2 injected-class-name functional cast; b921be822 substitute TTP in current-specialization type; 72025a570 NTTP from class-template-id arg + in-class labels; 997e77f27 qualified-member call most-vexing parse	Opus final pa23/plan.md Work log items 5/8/10 and Loop 56 notes cover dependent qualified lookup, current specialization, friend/member scope, and source owner preservation.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/general/100-current-specialization-member-body-cast-compare.my.lowir.compare.diff	pa18-or-pa21	harness-or-reference-issue	analysis/reducers/pa18-current-specialization-member-body-cast-compare.t		no-action	seed=opus_only; reducer is C++11-valid and current/external reference accept, but Opus start 1963d796e and sampled commits through Opus main still fail relaxed LowIR comparison against the external reference oracle; no Opus pass transition for a promotable earlier test.
pa23/tests/general/100-defaulted-trailing-class-partial-specialization.t	pa23/tests/general	100	fail	fail	both_fail	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	class-partial-specialization-matching-ordering-with-dependent-args	72e996289 non-deduced-context partial specialization; 15a2e9c8d cv/trailing-pack matching and ordering; 7fcd5c92a defaulted trailing partial-spec args; a3c294645 function-type trailing pack; b444d928a array-bound class partial specialization; 8e4c41d4 nested NTTP deduction	Opus final plan Work log items 3/4/7/11/12 document partial-specialization matching, ordering, non-deduced contexts, function types, packs, defaults, and NTTPs.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa21	feature-interaction-earliest-owner	pa21/tests/spec/100-defaulted-trailing-class-partial-specialization.t	pa21/tests/spec/100-defaulted-trailing-class-partial-specialization.t	test-added	seed=both_fail; PA21 README: template entity/specialization model, alias/variable/member templates, TTPs, partial specialization, explicit-instantiation ownership; no assignment tests or refs added in this audit pass; Backfilled in PA21; reducer validation: g++ C++11 accepted, Opus start 1963d796e rejects; 7fcd5c92a accepts; LowIR refs generated with external reference binary using --emit-lowir -O0; focused PA21 check passed; no witness sidecar added pending clang witness oracle
pa23/tests/general/100-dependent-bool-partial-static-value-mangle.t	pa23/tests/general	100	fail	fail	both_fail	generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/general/100-dependent-bool-partial-static-value-mangle.my.lowir.compare.diff	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	lowir-presentation-itanium-mangling-for-template-instantiations	6a1804510 object= Itanium mangles for class members; 7a9b70f48 function-local class member mangling; 7328cd82b nested member-class-template instantiation mangling	Opus final pa23/plan.md Loop 59/60 identifies object= Itanium pairing and local-class mangling as LowIR presentation/comparison defects, not missing source-language features.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/general/100-dependent-bool-partial-static-value-mangle.my.lowir.compare.diff	pa23	implementation-bug-only			no-action	seed=both_fail; Presentation/codegen pairing issue; no earlier source-feature test proposed.; no assignment tests or refs added in this audit pass
